title,release_date,recommend,user_id
Tomb Raider Legend,2006-04-07,True,ironcass
Max Payne,2001-07-25,False,ironcass
Command amp Conquer Red Alert ,2008-10-28,True,jdrocks
PuzzleQuest Challenge of the Warlords,2007-10-10,True,xexilex
Culpa Innata,2007-10-23,True,aligindahousebabykosha
Prison Tycoon  Lockdown,2007-08-01,True,1234567io9872345678765432
Hunting Unlimited ,2007-09-01,True,1234567io9872345678765432
 Wheels of Steel American Long Haul,2007-12-03,True,1234567io9872345678765432
Conflict Denied Ops,2008-02-08,True,JunG00berfuckingsucks
ARMA Combat Operations,2007-05-08,True,Justmatel
Desperados  Coopers Revenge,2006-05-02,True,76561198075749223
Death to Spies,2007-10-16,True,Snoresville
Act of War High Treason,2006-05-30,True,76561198055670224
RollerCoaster Tycoon  Platinum,2006-10-26,True,76561198055670224
Act of War Direct Action,2005-03-14,True,76561198055670224
Unreal  The Awakening,2003-02-03,True,76561198080125105
Unreal Gold,1998-04-30,True,Lickidactyl
Ninja Reflex Steamworks Edition,2008-03-21,False,linksupersayan
Tom Clancys Splinter Cell,2003-02-18,False,dietrich1998
Far Cry,2004-03-23,True,companothemuslim
Unreal Tournament Game of the Year Edition,2000-10-25,True,76561198095766418
Tom Clancys Rainbow Six Vegas,2006-12-12,False,G0LDENGUNNER
Silent Hunter III,2005-03-15,True,76561198063274178
Virtual Villagers  The Secret City,2008-05-28,True,76561198063274178
Mystery PI  The Vegas Heist,2008-06-04,True,76561198063274178
Luxor,2008-06-10,False,SpecGames
Reaxxion,2008-06-10,True,meeeedie
Little Farm,2008-06-10,True,tehbluscoot
 Wonders II,2008-06-10,False,tehbluscoot
Luxor Amun Rising,2005-12-08,True,stealthysteve
Luxor ,2007-11-13,False,stealthysteve
Petz Horsez ,2007-11-13,True,SwinburnCyphenMisslemike
Luxor ,2005-12-08,True,76561198101552611
Rayman Raving Rabbids,2007-03-27,True,76561198095856407
Silent Hunter Wolves of the Pacific,2007-03-20,True,whiteruby3
IL Sturmovik ,2006-12-15,True,MrPickle255
Silent Hunter Wolves of the Pacific UBoat Missions,2008-03-24,True,mwanan
Bone Out From Boneville,2005-09-15,True,76561198012741239
Midnight Outlaw  Hours to SunUp,2005-07-02,True,PiozZ
Bone The Great Cow Race,2006-04-12,False,PandaCorn666
Sprint Cars Road to Knoxville,2008-07-29,False,Karetchi
Ride Carnival Tycoon,2007-07-02,True,76561198068217106
Mahjongg Investigations Under Suspicion,2007-08-08,True,76561198068217106
Dracula Origin,2008-05-20,True,76561198067777635
Sherlock Holmes  Nemesis,2008-04-14,False,76561198002151678
Eternitys Child,2008-07-31,True,76561198002151678
Pacific Storm Allies,2007-05-25,False,76561198089541911
Tank Universal,2008-08-21,True,76561198089541911
FlatOut Ultimate Carnage,2008-08-19,True,76561198102977568
Oddworld Abes Exoddus,1998-11-17,True,Ravironio
Oddworld Abes Oddysee,1997-12-12,True,Revan_Aldrei
GTR Evolution Expansion Pack for RACE ,2008-09-01,True,Revan_Aldrei
XCOM Enforcer,2001-04-19,True,Revan_Aldrei
XCOM Apocalypse,1997-07-15,True,Revan_Aldrei
XCOM UFO Defense,1993-12-31,True,Revan_Aldrei
STALKER Clear Sky,2008-09-15,True,Revan_Aldrei
Crysis Warhead,2008-09-17,True,Revolver_
Crysis,2007-11-13,False,Matoota
XCOM Interceptor,1998-06-15,True,76561198092310770
The Witcher Enhanced Edition Directors Cut,2008-09-16,True,76561198092310770
Multiwinia,2008-09-19,False,Sam_Slade
STCC  The Game   Expansion Pack for RACE ,2008-10-22,True,MegaMario48
Children of the Nile Alexandria,2008-08-28,True,benjamingarrison
Sid Meiers Civilization IV Colonization,2008-09-23,False,Shredderman962
Tom Clancys Rainbow Six  Gold,2003-03-18,True,Simcra
LEGO Batman,2008-09-29,True,SpiritOfDeath2
City Life ,2008-07-18,True,justthathelicopterpilot
Hinterland,2008-09-30,True,coadstar101
Brothers in Arms Hells Highway,2008-10-08,False,coadstar101
Gravitron ,2008-08-31,True,_SNS_
Xpand Rally Xtreme,2006-12-01,True,_SNS_
Heroes of Might amp Magic V Hammers of Fate,2006-11-14,True,76561198060787863
Brothers in Arms Earned in Blood,2005-10-04,True,76561198060787863
Heroes of Might amp Magic V Tribes of the East,2007-10-16,False,space_jumper
The Settlers Rise Of An Empire Gold Edition,2008-04-18,True,76561198059845244
Brain Spa,2007-09-25,True,Kaj3n
The Sum of All Fears,2002-05-31,False,ssbatt
Peggle Nights,2008-10-15,True,stinglock
World of Goo,2008-10-13,True,76561198065863302
X Terran Conflict,2008-10-16,True,76561198074373301
Mare Nostrum,2008-10-17,True,superyoshiegg
Spectraball,2008-10-20,True,76561198070346631
Galactic Bowling,2008-10-21,False,76561198015930046
Bully Scholarship Edition,2008-10-21,True,94567
Far Cry  Fortunes Edition,2008-10-22,True,TheSuccIsGudd
Space Trader Merchant Marine,2008-10-23,True,thegreatds
PRR Wagon Pack ,2009-01-01,True,theironhex
Class  London South East Jaffa Cake,2009-01-01,True,76561198046806915
ATSF Wagon Pack ,2009-01-01,True,76561198065836764
GP Union Pacific Addon Livery,2009-01-01,True,76561198066582571
UK Van Wagon Pack,2009-01-01,True,Truebro115
CSX SDMAC Addon Livery,2009-01-01,True,Truebro115
CSX ESAC Addon Livery,2009-01-01,True,Truebro115
Saints Row ,2009-01-28,True,76561198056645429
Dead Space,2008-10-20,False,swagdog69
Rise of the Argonauts,2008-12-16,True,WalrusInSpace
Mirrors Edge,2009-01-13,True,wavezero
Defense Grid The Awakening,2008-12-08,False,76561198129265482
FEAR  Project Origin,2009-02-12,True,76561198072355008
Harvest Massive Encounter,2008-03-05,True,Harrasian
Mayhem Intergalactic,2007-07-04,True,Freeballin99
Larva Mortus,2009-03-19,True,xoffy
Knights of Honor,2005-05-10,True,xoffy
Ceville,2009-02-27,True,mikeytyson
Empire Total War  Special Forces Units amp Bonus Content,2009-03-04,False,mikeytyson
Watchmen The End is Nigh,2009-03-04,True,AdonSinky
Penumbra Overture,2007-03-30,True,76561198097470405
Unreal Tournament  Black,2007-11-19,True,76561198097470405
Drakensang,2009-02-27,True,Z1_M4N
The Graveyard,2008-03-21,True,AndyIzNogud
Burnout Paradise The Ultimate Box,2009-02-03,True,76561198036810976
The Maw,2009-03-09,True,Kootrasman
The Maw River Redirect,2009-03-16,True,76561198041284313
The Maw Brute Force,2009-03-16,True,76561198038259400
Obulis,2009-03-19,False,Xalibe
Space Giraffe,2009-03-19,True,MynameisAuz
Codename Panzers  Cold War,2009-03-10,False,76561198039469366
Escape Rosecliff Island,2009-04-15,True,76561198062785129
Guild Wars Nightfall,2006-10-27,True,Uve-Seen_Nothing
Guild Wars Game of the Year Edition,2005-04-28,False,Uve-Seen_Nothing
Guild Wars Factions,2006-04-28,True,Blackboy72
Guild Wars Trilogy,2008-09-25,True,Blackboy72
Puzzle Kingdoms,2009-04-16,True,mrnuclear
Samantha Swift and the Golden Touch,2009-04-29,True,Aussiefella_69
Two Worlds Epic Edition,2009-04-30,True,shadowxlucario
Helldorado,2009-04-30,True,My_Immortal
XBlades,2009-02-10,True,76561198029589709
Zeno Clash,2009-04-21,True,MrProvidings
The Maw Speeder Lane,2009-04-29,True,MrProvidings
Kings Bounty The Legend,2008-09-23,True,MrProvidings
Virtual Families,2009-05-06,False,76561198006896411
Death Track Resurrection,2009-05-06,True,SitteNKitteNMitteN
Freedom Force vs the Third Reich,2005-03-08,True,communiggersunite
Freedom Force,2002-03-26,True,LASSO133
Light of Altair,2009-06-04,True,ryno69445
Darkest Hour Europe ,2009-06-09,False,76561198053145578
Prototype,2009-06-10,True,haoliu98
Blueberry Garden,Jun 2009,False,mr_cat
Port Royale ,2004-04-30,True,mr_cat
The Elder Scrolls IV Oblivion Game of the Year Edition,2007-09-11,False,avdl
The Elder Scrolls III Morrowind Game of the Year Edition,2002-04-29,True,AriakWolf
Ankh  Heart of Osiris,2007-05-18,True,NiceAhTNT
Armored Fist ,1999-09-01,True,ThePratama190
MiG Fulcrum,1998-09-07,True,76561198089200630
BC Kings,2008-09-15,True,76561198081631721
Call of Juarez Bound in Blood,2009-06-30,True,1800-Ricohut
Nancy Drew Legend of the Crystal Skull,2007-10-01,True,darainthebanana
Nancy Drew The Creature of Kapu Cave,2006-10-01,True,darainthebanana
Nancy Drew The Phantom of Venice,2008-07-01,True,76561198034784208
Nancy Drew The White Wolf of Icicle Creek,2007-07-01,True,fui312
BRAINPIPE A Plunge to Unhumanity,2008-12-24,False,GoodOldJacob
Tales of Monkey Island Complete Pack,2009-07-07,False,76561198080354888
Street Fighter IV,2009-07-07,True,76561198080354888
Thrillville Off the Rails,2007-10-09,True,bigfoot57
Indiana Jones and the Fate of Atlantis,1992-06-01,False,Kevin_F
Armed and Dangerous,2003-12-02,True,Kevin_F
Star Wars Battlefront  Classic ,2005-11-01,True,Blood_and_Bone
Indiana Jones and the Last Crusade,1989-07-01,False,Blood_and_Bone
LEGO Indiana Jones The Original Adventures,2008-06-03,True,bloodspilla
The Secret of Monkey Island Special Edition,2009-07-15,False,bloodspilla
Warfare,2008-11-20,True,rooneywatson
Clutch,2009-06-02,True,rooneywatson
Nancy Drew Ransom of the Seven Ships,2009-07-21,True,rooneywatson
D Ultra Minigolf Adventures,2006-12-20,True,rooneywatson
Kings Quest Collection,2006-09-01,True,76561198055117884
TimeShift,2007-10-30,True,boldboulder
Space Quest Collection,2006-09-01,True,12345678901234567890123456567890
Killing Floor Outbreak Character Pack,2009-07-24,True,SDAFAWRFGRSEG
Aces of the Galaxy,2008-06-04,True,76561198095920833
Tropico Reloaded,2009-07-24,True,Catch_Twenty_Two
Mystery PI  Lost in Los Angeles,2009-07-27,True,76561198042411838
Bionic Commando Rearmed,2008-08-14,True,76561198042411838
Bionic Commando,2009-07-28,True,SuchDogeMuchWoW
Watchmen The End is Nigh Part ,2009-07-29,True,76561198066118331
Foreign Legion Buckets of Blood,2009-08-04,True,dannysfatass
STAR WARS  Knights of the Old Republic,2003-11-19,True,76561198087135044
Osmos,2009-08-18,True,topkeklord7
Fallout  A Post Nuclear Role Playing Game,1998-12-01,True,evankohgj
Fallout Tactics Brotherhood of Steel,2001-03-01,True,chewyi
Kingpin  Life of Crime,1999-06-01,True,76561198142474106
Tales of Monkey Island Complete Pack Chapter   The Siege of Spinner Cay,2009-08-20,True,76561198051461196
Jewel Quest Pack,2009-08-24,True,PintoProAlto
Mahjong Quest Collection,2009-08-24,True,Ibukismywaifuforlaifu
Time Gentlemen Please and Ben There Dan That Special Edition  Double Pack,2009-06-22,True,chocolate-donut-king
Tom Clancys Splinter Cell Chaos Theory,2005-03-29,True,chocolate-donut-king
XIII Century  Gold Edition,2009-08-28,True,76561198064663981
World of Zoo,2009-10-30,True,curtiits
Mini Ninjas,2009-09-08,False,cybas101
Windosill,2009-05-26,False,itsdandytime
Train Simulator Colton amp Northern Route AddOn,2009-09-25,True,itsdandytime
Midnight Mysteries,2009-09-28,True,DarkKnight2599
Tales of Monkey Island Complete Pack Chapter   Lair of the Leviathan,2009-09-07,True,blablabla174
Joint Operations Combined Arms Gold,2009-08-18,True,DarthRhys
Train Simulator US Loco amp Asset Pack,2009-10-01,True,_Daughter_
DinerTown Tycoon,2009-09-30,True,deadtrooper6424
Train Simulator European Loco amp Asset Pack,2009-10-01,True,76561198037086921
Risen,2009-10-30,True,defox01
Floras Fruit Farm,2009-10-01,True,defox01
Empire Total War  The Warpath Campaign,2009-10-05,True,deynarian
Machinarium,2009-10-16,False,diabz
Medal of Honor Airborne,2007-09-04,True,Poopsnugg
Need for Speed Shift,2009-09-15,True,Poopsnugg
Torchlight,2009-10-27,True,Poopsnugg
Command amp Conquer Red Alert   Uprising,2009-03-12,False,MattBowles
The Stronghold Collection,2009-10-27,True,Dozza_The_Wozza
East India Company Privateer,2009-10-27,False,dreadedfungus
Painkiller Resurrection,2009-10-27,True,Dub5
SpellForce   Anniversary Edition,2009-10-29,True,Dub5
Secret Files Tunguska,2009-10-29,True,76561198060319088
Rush for Berlin Gold,2009-10-29,True,elgerjp
Tales of Monkey Island Complete Pack Chapter   The Trial and Execution of Guybrush Threepwood,2009-10-07,False,Enska
Men of War Red Tide,2009-11-01,True,CaptainCrytec
Hammerfight,2009-09-19,True,CaptainCrytec
SpellForce  Platinum Edition,2009-11-03,True,CaptainCrytec
Massive Assault Phantom Renaissance,2005-03-03,True,eunmac
Massive Assault,2003-10-28,False,76561197987394736
Serious Sam HD The First Encounter,2009-11-24,True,FestiveDuckGaming
Secret Files  Puritas Cordis,2009-10-29,True,firnin_hanks
Dragon Age Origins,2009-11-06,True,Ni7rogen
Aztaka,2009-05-07,True,Sickunt123
Magnetis,2009-11-05,False,serafiki
For The Glory A Europa Universalis Game,2009-11-11,True,serafiki
Call of Duty Modern Warfare ,2009-11-12,True,serafiki
LEGO Star Wars  The Complete Saga,2009-11-12,True,gabbler123
Overlord,2007-06-26,True,76561198152535010
Overlord Raising Hell,2008-02-15,False,76561198067309171
Command amp Conquer  Tiberium Wars,2007-03-28,True,76561198067309171
Yumsters  Around the World,2008-07-23,True,geoskio
Command amp Conquer  Kanes Wrath,2009-11-13,True,76561198134334226
Gratuitous Space Battles,2009-11-16,True,GLADTOHELP
Wings of Prey,2009-12-25,True,76561198077294556
The Bards Tale,2005-06-17,False,76561198057970914
Defence Alliance ,2009-10-22,True,Vyndoril
STAR WARS  The Force Unleashed Ultimate Sith Edition,2009-11-03,False,Rotomaniac
Fallout  Game of the Year Edition,2009-10-13,True,Rotomaniac
Gratuitous Space Battles The Tribe,2009-12-16,True,76561198065084226
BuildALot,2007-10-02,True,imsodonionringsrightnow
BuildALot  Town of the Year,2008-04-29,True,imsodonionringsrightnow
BuildALot  Passport to Europe,2009-01-24,True,CUSTOM666
Coconut Queen,2009-12-17,True,76561198104428121
Roogoo,2009-12-17,True,76561198058405866
Devil May Cry ,2008-07-08,True,76561198077102914
Avencast Rise of the Mage,2010-03-17,True,76561198044032335
BuildALot  Power Source,2009-08-12,True,76561198044032335
Pirates Vikings and Knights II,2010-02-12,True,76561198058562728
Farm Frenzy ,2008-08-27,True,SaladsByAinsley
Farm Frenzy  American Pie,2010-01-06,True,Outsider
Farm Frenzy ,2009-09-11,True,Outsider
Farm Frenzy,2007-12-07,False,mrawesome99128
Farm Frenzy Pizza Party,2009-02-18,True,mrawesome99128
Cake Mania Main Street,2010-02-16,True,76561198079366509
Westward IV All Aboard,2010-02-16,True,YouWannaFuckingGoM99
Iron Roses,2010-02-16,True,haloslayer1
UFO Extraterrestrials Gold,2010-02-17,True,HubDubs
LEGO Indiana Jones  The Adventure Continues,2010-02-18,True,HubDubs
Super Laser  Racer,2010-02-18,True,Deepadeep
Hearts of Iron III Soviet Infantry Pack DLC,2010-02-18,True,duckonthetruck
NecroVisioN Lost Company,2010-02-19,True,JayKayGray
Cradle of Persia,2007-12-01,True,76561198080526242
Aliens vs Predator Swarm Map Pack,2010-03-18,False,76561198103371005
Serious Sam Classic The First Encounter,2001-03-21,True,76561198103371005
Train Simulator Fort Kent to Eagle Lake Route AddOn,2010-03-19,True,76561198092221837
Mount amp Blade Warband,2010-03-31,True,miochandesu
Coniclysm,2010-03-26,True,Thenormalvietnamese
Plain Sight,2010-04-05,True,Thenormalvietnamese
Lead and Gold Gangs of the Wild West,2010-04-08,True,adamkupou
Grand Theft Auto Episodes from Liberty City,2010-04-12,True,ironcass
Dark Void Zero,2010-04-12,True,ironcass
Fortix,2010-04-14,True,ironcass
Beat Hazard,2010-04-15,False,ironcass
Sam amp Max The Devils Playhouse,2010-04-15,False,jgbergmen
MUD TV,2010-04-19,True,Jacab
Wings of Luftwaffe Addon,2010-04-19,True,bobofofo
The Misadventures of PB Winterbottom,2010-04-20,True,bobofofo
AquaNox  Revelation,2003-08-19,True,james815
AquaNox,2001-11-30,True,Bigzy
Fluttabyes,2010-04-20,True,76561198075863151
Hidden Expedition Titanic,2006-07-19,True,dontgetmemed
Hidden Expedition Amazon,2008-06-19,True,dontgetmemed
Napoleon Total War  Coalition Battle Pack,2010-05-05,True,76561198097172610
Fitness Dash,2008-12-31,True,Lunaii
Gemini Lost,2009-09-24,True,Lunaii
DinerTown Detective Agency,2009-07-27,True,Lunaii
Hotel Dash Suite Success,2009-12-24,True,Lunaii
Nightshift Legacy The Jaguars Eye,2010-03-19,True,76561198043130826
The Nightshift Code,2008-02-11,True,76561198043130826
TriJinx A Kristine Kross Mystery,2007-12-31,True,dzakuan
Valerie Porter and the Scarlet Scandal,2009-12-21,True,Joshycraft
Biozone,2010-05-07,True,Justmatel
Rocket Knight,2010-05-11,True,9683n
Flight of the Icarus,2010-05-12,True,kcharding
Puzzler World,2010-05-28,True,keoul
Prince of Persia The Forgotten Sands Digital Deluxe Edition,2010-06-08,True,jet14
Ziro,2010-05-28,True,jet14
Altered Beast,2010-06-01,True,jet14
Comix Zone,2010-06-01,True,jet14
SEGA Mega Drive and Genesis Classics,2010-06-01,True,jet14
Golden Axe,2010-06-01,True,JohnnyMcShitty
Ecco the Dolphin,2010-06-01,True,lozone
Gain Ground,2010-06-01,False,larrythebrony
Shinobi III Return of the Ninja Master,2010-06-01,True,larrythebrony
Crack Down,2010-06-01,True,larrythebrony
VectorMan,2010-06-01,False,lasati
Shadow Dancer,2010-06-01,True,lelvis
Space Harrier II,2010-06-01,True,sIuttrak
Alpha Protocol,2010-06-01,,
Alien Breed Impact,2010-06-03,True,Vucki
Fallout   Point Lookout,2010-07-16,True,LudiAU
Defense Grid Resurgence Map Pack ,2010-06-02,False,76561198024566463
Fallout   Mothership Zeta,2010-07-16,True,rollhack
Fallout   Broken Steel,2010-07-16,True,MAC_CAB
Fallout   The Pitt,2010-07-16,True,76561198074177617
Alien Swarm,2010-07-19,True,MatthewW7
Fallout   Operation Anchorage,2010-07-16,False,76561198027193755
SimCity  Deluxe Edition,2003-09-22,True,obeseninja27
Disciples III  Renaissance Steam Special Edition,2010-07-16,True,wearethechampionsmyfriend
Tidalis,2010-07-16,True,lolijuygter
Razor Hidden Skies,2010-07-19,True,anthMC
The Settlers  Uncharted Land Map Pack,2010-07-21,True,anthMC
Dimensity,2008-12-08,False,76561198061039342
Kane amp Lynch  Dog Days,2010-08-17,True,76561198061039342
The Guild II Renaissance,2010-07-28,True,76561198061039342
Hearts of Iron III DLC German II Spritepack,2010-07-26,True,76561198079882851
Trainz Simulator DLC Blue Comet,2010-08-06,True,76561198052118118
Fantasy Wars,2010-08-06,True,Mozness
Mafia II,2011-03-22,True,76561197995905411
Train Simulator Network Southeast Class  Loco AddOn,2010-08-06,True,mresprofile
Puzzle Quest ,2010-08-12,True,Murdocgreenskin
Burn Zombie Burn,2010-08-12,True,Murix
Madballs BDI Clan Skins,2010-08-16,True,mutatedwombat
Madballs Scorched Evolution Skin Rollup,2010-08-16,True,NanoPi
Madballs BDI Evolution Skin Rollup,2010-08-16,True,NanoPi
Madballs Holiday Skin Rollup,2010-08-16,False,sheshenus
Victoria I Complete,2010-08-20,True,QuenchingAlarm1
Ship Simulator Extremes,2010-08-27,True,ustupit
Worms Reloaded,2010-08-26,True,76561198088807138
Making History II The War of the World,2010-06-22,True,SenorcThePie
Arma  British Armed Forces,2010-08-27,True,pleaseendmyfuckingsufferingcyka
Victoria II,2010-08-30,True,pleaseendmyfuckingsufferingcyka
Madballs Scorched Clan Skins,2010-08-16,True,76561198085457850
Kane amp Lynch  The Doggie Bag,2010-08-31,True,76561198085457850
Kane amp Lynch  Multiplayer Masks Pack,2010-08-31,True,76561198080947173
Trainz Classic Cabon City,2010-09-01,True,76561198081848869
Kane amp Lynch  Alliance Weapon Pack,2010-08-31,True,76561198081848869
Cossacks Back to War,2002-11-01,True,76561198029634836
Broken Sword Directors Cut,2010-09-02,True,Capscain
Chime,2010-09-06,False,76561198004669632
Mafia II DLC Jimmys Vendetta,2010-09-06,True,deathtotraitors777
Sniper Ghost Warrior  Map Pack,2010-09-08,True,anpepo
VVVVVV,2010-09-07,True,76561198093156182
The Settlers  Conquest  The Empire Expansion DLC,2010-09-08,False,76561198043880297
Amnesia The Dark Descent,2010-09-08,True,piedude
Recettear An Item Shops Tale,2010-09-10,True,honkychonky
Swarm Arena,2010-08-19,False,honkychonky
Super Thunder Blade,2010-09-13,True,honkychonky
Galaxy Force II,2010-09-13,True,76561198107093846
Hacker Evolution,2010-09-14,True,pizzadude04
Hacker Evolution Untold,2010-09-14,True,76561198044367162
Faerie Solitaire,2010-09-17,True,POKESTEAM
Patrician IV  Steam Special Edition,2010-09-17,False,some_sorta_pie
Bonanza Bros,2010-09-13,True,FabRainbro
Kings Bounty Crossworlds,2010-09-17,False,LordRascus
Train Simulator Green amp Gold HST DMU AddOn,2010-09-17,False,kayrom
Sid Meiers Civilization V,2010-09-21,True,Rhyzak
Commander Conquest of the Americas  Colonial Navy,2010-09-21,True,Rubbercube
Serious Sam Classic The Second Encounter,2002-02-05,False,Rubbercube
Star Ruler,2010-09-20,True,Rubbercube
Blade Kitten,2010-09-22,False,Rubbercube
Alien Breed  Assault,2010-09-22,True,xdangerouscereallyx
Darksiders,2010-09-23,True,sanaret
X Beyond the Frontier,1999-07-01,True,Sansomar
The Kings Crusade,2010-10-08,True,76561198081934209
Guild Wars Eye of the North,2007-08-31,False,p893629682
X Tension,2000-06-01,True,SergeantMason
Age of Wonders II The Wizards Throne,Oct 2010,True,SergeantMason
Governor of Poker ,2010-10-11,True,1stpionpaul
Governor of Poker   Premium Edition,2010-10-11,False,seveneightnine
Age of Wonders Shadow Magic,Oct 2010,False,Shredderman962
Age of Wonders,Oct 2010,True,Silverimate47
Medal of Honor,2010-10-12,True,whisperrrrrrr
Grotesque Tactics Evil Heroes,2010-10-15,False,SirexPower
Lost Planet ,2010-10-15,False,SirexPower
Doc Clock The Toasted Sandwich of Time,2010-10-15,False,SirexPower
Fallout New Vegas,2010-10-19,True,Skippy333
The Polynomial  Space of the music,2010-10-15,True,5400540054005400
Puzzle Bots,2010-10-22,True,SneakyPete9
Nimbus,2010-10-25,True,Variun
Civilization V  Babylon Nebuchadnezzar II,2010-10-25,True,SULL3H
DeathSpank,2010-10-25,False,76561198033982370
Virtua Fighter ,2010-10-26,True,76561198080103160
Columns III,2010-10-26,True,sprayer1706
Sword of Vermilion,2010-10-26,True,76561198061268926
Golden Axe II,2010-10-26,True,76561198070346631
Sonic The Hedgehog,2010-10-26,False,76561198057451875
Ecco The Tides of Time,2010-10-26,False,76561198073446384
BioHazard Battle,2010-10-26,False,76561198073446384
Alien Storm,2010-10-26,True,the_mad_doctor123
Shank,2010-10-25,True,Tomsen1
The Ball,2010-10-26,True,LecXii
STAR WARS The Force Unleashed II,2010-10-26,True,TheSuccIsGudd
Flight Control HD,2010-11-18,True,Smeegan
Patrician III,2010-11-18,False,Smeegan
BITTRIP BEAT,2010-11-02,False,76561198051772381
Theatre of War   Battle for Caen,2010-11-02,True,TheJordanSixFifty
Woody TwoLegs Attack of the Zombie Pirates,2010-11-02,True,ThereSheBlows
Clones,2010-11-18,True,thrillder
Victoria II Interwar Spritepack,2010-11-02,True,76561198062267241
Front Mission Evolved Wanzer Pack ,2010-11-02,True,timasaurus
Pound of Ground,2010-11-05,True,gayanimeguy
Pat amp Mat,2009-10-01,True,TomThehTmoT
Alternativa,2010-11-03,True,TomThehTmoT
Fish Fillets ,2007-04-05,False,76561198045771425
Archon Classic,2010-11-02,True,76561197992809369
Call of Duty Black Ops,2010-11-09,True,76561198069824038
